School ID,Name of School,"Elementary, Middle, or High School",ZIP Code,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name
610515,Disney II Magnet School,ES,60641,Yes,Standard,Not on Probation,Level 1,No,NDA,,Very Strong,99,NDA,,NDA,,Strong,75,Average,53,Strong,62,Strong,58,97.30%,0,96.50%,100.00%,84.6,NDA,76.5,79.4,63.4,63.7,NDA,NDA,NDA,NDA,NDA,NDA,57.8,52,0.6,2.1,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,363,29,NDA,16,IRVING PARK
610077,Donald Morrill Math & Science Elementary School,ES,60629,No,Track_E,Probation,Level 3,No,Weak,28,Weak,25,Weak,32,Weak,39,Weak,35,Weak,32,Weak,44,Average,49,93.40%,19.6,94.80%,97.30%,64.6,46.3,20,15.3,46.6,42.6,30.9,22.9,54.5,50.3,12.1,26.2,10,5.7,-0.8,-1.2,Red,Red,38.9,50,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,823,43,NDA,66,CHICAGO LAWN
610198,Douglas Taylor Elementary School,ES,60617,No,Standard,Not on Probation,Level 2,No,Weak,34,NDA,NDA,Weak,20,Very Weak,1,NDA,NDA,NDA,NDA,Weak,42,Weak,45,95.10%,16.6,94.30%,100.00%,48.9,34.4,28.5,22.3,44.4,44.9,39.7,33.5,56.6,48.9,15.7,18.6,12.4,9.9,-0.5,-0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,632,47,NDA,52,EAST SIDE
610533,Dr Jorge Prieto Math and Science,ES,60639,No,Standard,Not on Probation,Not Enough Data,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,52,Strong,58,94.70%,7,96.90%,100.00%,48.4,19.5,33.8,19.9,43.1,55,44.2,30,56.9,47.8,12.1,28.9,14.6,8.6,-0.7,-0.7,Red,Red,17.5,52.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1001,29,NDA,19,BELMONT CRAGIN
610266,Dumas Technology Academy,ES,60637,No,Standard,Probation,Level 3,No,Very Weak,19,NDA,NDA,Weak,25,Average,49,NDA,NDA,NDA,NDA,Average,48,Average,53,92.50%,38.4,95.60%,98.10%,63.6,12,22,18.8,61.6,63.7,20,22.4,61,53.7,15.9,40.9,8.3,5.8,-0.2,-0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,381,46,NDA,42,WOODLAWN
610188,Dunne Technology Academy,ES,60628,No,Track_E,Not on Probation,Level 1,No,Average,46,Average,53,Strong,65,Strong,71,Average,51,Average,59,Average,49,Average,47,94.60%,22.8,96.40%,100.00%,53.6,38.8,36.3,31.4,55.8,71.1,39.4,37.7,57,49.5,9.6,25,24.7,17.2,2.8,1.8,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,310,49,NDA,49,ROSELAND
610352,Durkin Park Elementary School,ES,60652,No,Standard,Not on Probation,Level 1,No,Strong,61,Strong,74,Average,57,Average,58,Very Strong,88,Strong,74,Average,53,Weak,38,95.40%,0.7,95.80%,100.00%,75.6,58.1,36.6,32.3,55.8,65.6,53.4,40.4,61.8,61.5,22.4,40.8,22,16.3,0.8,1.5,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,543,44,NDA,70,ASHBURN
610254,Dvorak Technology Academy,ES,60623,No,Standard,Probation,Level 3,No,Average,46,Weak,22,Strong,66,Strong,69,Very Weak,4,Very Weak,13,NDA,NDA,NDA,NDA,94.20%,4.4,95.40%,100.00%,49,42.3,20.5,22.4,45.8,43.1,25.1,26.3,38.9,53.6,3.6,30.4,11,10.4,-1.5,0.4,Red,Yellow,20.3,16.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,556,37,NDA,29,NORTH LAWNDALE
610132,Edgar Allan Poe Elementary Classical School,ES,60628,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99,Weak,33,Strong,66,Very Strong,88,Weak,27,Average,41,Strong,55,Average,47,97.60%,0,97.20%,100.00%,100,78.3,94,91.6,51.8,65.5,78.6,92.9,53.6,60.7,NDA,NDA,78.8,79.6,1.7,-0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,192,48,NDA,50,PULLMAN
609901,Edgebrook Elementary School,ES,60646,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99,Very Strong,99,Average,51,Average,53,Strong,66,Strong,70,Strong,56,Weak,39,96.90%,3.4,96.60%,100.00%,96.3,47.6,88.1,74.1,55.2,75.2,80,79.1,54.5,60,50,71.4,60.2,56.8,0,0.5,Yellow,Yellow,83.3,64,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,468,30,NDA,12,FOREST GLEN
